가다랑어,가다랑어포,가리비,가리비살,가시복,가자미,가지,가지열매,가츠오부시,간고등어,간장,갈매기살
갈치,감,감귤,감열매,감자,감초,갑오징어,갓,강낭콩,강아지풀,강황,개복숭아
개불,개암,개암견과,거위,김,건조김,건조사과,건조자몽,건조캐모마일,건조캐모마일꽃,건조히비스커스,건포도
검정콩,겨자 소스,결명자,결명자열매,계피,고구마,고니,고들빼기,고등어,고라니,고사리,고사리어린순
고수,고수잎,고추,고추어린잎,고추열매,골드키위,골뱅이,골파,곰치,곶감,과메기,관자
광귤나무꽃,구기자,구기자나무,구기자나무열매,구기자나무잎,구운김,구운꽁치,구운밤,구절초,구절초잎,국화,국화꽃
굴,굴비,귀리,귀리씨,귤꽃,그린 망고,그린콩씨,금귤,금낭화,금잔화,금잔화꽃,기러기
기장,기장씨,깻잎,꼬리,꼬막,꽁치,꽃게,꽃등심,꽃사과,꽃사과열매,꽃상추,꽃상추잎
꽃양배추,꽃양배추꽃,꽈리 고추,꿩고기,곱창,꿀풀,곰피,나무딸기,나무딸기열매,낙지,남천열매,남천잎
낫토,냉이,냉이뿌리,냉이어린잎,넙치,네트멜론,년어,녹각,녹두,녹두씨,녹용,녹차가루
농어,누에,누에번데기,느타리버섯,능소화,능이버섯,다래,다슬기,다시마,단감,단풍나무,단호박
단호박씨,단호박열매,달걀,달래,달리아,닭 가슴살,닭 날개,닭 모래주머니,닭 봉,닭 안심살,닭고기,닭새우
닭의장풀,담배,당귀,당근,당근뿌리,당근잎,당면,대게,대구,대나무줄기,대두,대창
대추,대하,대합,더덕,더덕뿌리,덩굴장미,도라지,도라지뿌리,돌나물,돌나물어린순,돌돔,동백나무
돼지 갈비,돼지 갈비살,돼지 대창,돼지 등심,돼지 막창,돼지 소창,돼지 족발,돼지 토시살,돼지고기,된장,두릅,두릅어린순
두리안,두리안열매,두부,두충,둥굴레,둥근마덩이뿌리,들국화,들깨씨,등갈비살,등나무,등심초,딸기열매
딸기주스,땅콩,땅콩견과,라벤더,라임,라임열매,라즈베리,라즈베리열매,람부탄과육,래디시,레몬,레몬과육
레몬열매,렌즈콩씨,렌틸콩,로즈마리,로즈마리어린순,루피너스,리코타,마,마늘,마늘잎,마늘종,마시멜로
마요네즈,마타리,마황,망고,망고스틴,망고스틴열매,매생이,매실,매화꽃,맥문동,머루,머스크멜론
머스크멜론열매,멀구슬나무,멍게,메기,메뚜기,메밀,메밀꽃,메주,메주콩,메추리알,멧돼지,멸균한 우유
멸치,명란,명태,모과,모과나무열매,모란꽃잎,모시조개,모짜렐라,목련꽃잎,목향,목화씨,무
무궁화,무말랭이,무순,무청,무화과,무화과열매,문어,물개,물미역,미나리,미더덕,미역
미역귀,민트,밀,밀가루,밑만가닥버섯,바나나,바이올렛,바지락,바질,람부탄 과육,람부탄 열매,박새
박주가리,반묘,밤,밤고구마,밤나무열매,밤콩,방울다다기양배추,배,배과육,배나무열매,배초향,배추
배추잎,백단향,백도열매,백두구,백두구열매,백부자,백선,백포도주,뱀딸기열매,백태,버진 올리브 오일,버터
벌개미취어린순,벌깨덩굴어린순,벌꿀,범부채,범부채뿌리줄기,버찌,버찌열매,벚나무꽃,벚나무열매,벚나무잎,베고니아꽃,베니하루카 고구마
베르가모트민트잎,별꽃,병어,보름달물해파리,보리,보리수나무열매,보리씨,복령,복분자딸기,복분자딸기열매,복수초,복숭아
복숭아과육,복숭아나무꽃,복어,볶은결명자,볶은캐슈,볶은커피원두,볶은호두,본갈비,부들,부채살,부추,부추잎
부평초,북방산 개구리,북어,분꽃,불가사리,붕어,붕장어,브라질넛,브로콜리,브로콜리꽃봉오리,브리,블루베리
비단벌레,비둘기,비자나무,비트,빙어,빨간 고추,뽕나무,뽕나무겨우살이잎,뽕나무열매,뿔소라,사골,사과
사과껍질,사과열매,사슴,사슴고기,사슴뿔,사시나무,사프란암술머리,사프란암술머리추출물,산달래어린식물,산돌배나무열매,산둥굴레잎,산마
산사나무,산사나무잎,산수유,산수유열매,산약뿌리줄기,살구,살구나무꽃,살구나무씨,살구나무열매,살라미,살벤자리,살치살
삼겹살,삼색제비꽃,삼세기,근대,삿갓나물,상수리나무견과,상추,상추잎,상치,상황버섯,새꼬막,새송이버섯
새조개,샐러리,샐비어,생강,생강나무,생강뿌리,생크림,샤프란,샴페인,서대,서리태,서양민들레
서양민들레어린잎,서양민들레잎,서양배,석류,석류나무열매,석잠풀어린잎,선지,설탕,성게,성게알,세이지,셀러리
셀러리잎,소 간,소 갈비살,소 꼬리,소 안심,소 토시살,소고기,소금,소나무껍질,소나무뿌리,소나무순,소라
소시지,소철,소철씨,속단,손바닥선인장,손바닥선인장열매,손바닥선인장줄기,솔잣나무,솔잣나무견과,솜다리어린순,송사리,송어
송이,송이버섯,송화,쇠뜨기,쇠뜨기잎,쇠미역,쇠비름,쇠비름순,수국,수국잎,수닭,수련
수련땅속줄기,수박,수박열매,수박주스,수세미,수세미오이어린열매,수수,수수씨,수양버들,숙주나물,순두부,순무
순무양배추,숭어,스위티,스타프루트,스타후르츠,스타후르츠열매,시계꽃,시금치,시금치잎,시나몬,시나몬나무껍질,시래기
시사모,식용누에번데기,식용달팽이,신선 참마,신선바나나,신선토마토,신선한 표고버섯,실버베리열매,실파,쌀,쌈장,쏘가리
쏠배감펭,쑥갓,쑥갓잎,쑥부쟁이,쑥부쟁이어린잎,씀바귀,씀바귀잎,아기양배추잎,아라비안자스민꽃,아로니아열매,아마,아몬드
"아몬드/아몬드,쓴종류",아몬드견과,아몬드외피,아보카도,아보카도열매,아삭이 고추,아스파라거스,아스파라거스어린순,아오리사과,아카시아,아카시아나무꽃,안식향
안심살,안창살,암닭,애기괭이밥어린순,애기나리어린잎,애기똥풀,애기원추리어린순,애플망고,애플민트,애호박,앵두,앵두나무열매
앵초어린싹,야생딸기,야자나무,야콘어린잎,양고기,양귀비,양귀비전초,양배추,양상추,양상추잎,양송이버섯,양쥐돔
양파,얘로,어묵,얼레지,엄나무,업진살,엉겅퀴,에뮤,엠보르그 브리,엠보르그 카망베르,연,연근
